twitter_username,twitter_userid,domain,name,followers_count,tweet_count
sebastianrulli,95482484,rullinaticasworld.blogspot.com.es,Sebastian Rulli,2928587,22248
jamesmaslow,69751644,sherlockholmesonstage.com,James Maslow,2921705,14486
VeraBrezhneva,127680760,brezhneva.com,Вера Брежнева,2911067,5615
manomenezes,27710376,manomenezes.com.br,Mano Menezes,2910673,1247
jackgilinsky,278328390,apple.co,Jack Gilinsky,2908308,6179
Joey7Barton,166767883,joeybarton.com,Joseph Barton,2901927,21506
neilhimself,18393773,neilgaiman.com,Neil Gaiman,2899891,179506
Tyrese,24621955,smarturl.it,Vision Implementer  ,2890610,49990
SeanKingston,23648057,seankingston.com,SEAN KINGSTON ©,2886417,24661
LaurenConrad,34097876,laurenconrad.com,Lauren Conrad,2886047,7160
shymofficiel,125430181,shymofficiel.com,Shy'm,2882831,16317
OscarDLeon,89303321,youtube.com,Oscar D' Leon,2878810,36351
MarcusButler,81825702,youtube.com,Marcus Butler,2877131,12177
TravieMcCoy,39325978,traviemccoy.com,Travie McCoy,2858850,5219
Flordelav,105838056,WWW.FLORDELAVE.COM,Flor De La Ve,2853171,29332
JakeTAustin,19882775,,Jake T. Austin,2846903,3547
Charlottegshore,278103138,officialcharlottecrosby.com,Charlotte Crosby,2833103,36586
therealjuicyj,24275419,thejuicyj.com,juicy j,2832295,47023
sgokbakar,292535614,,Şahan Gökbakar,2828685,4354
AllRiseSilver,145548166,,Dalnim,2828234,1424
SaraBareilles,6211972,sarabmusic.com,Sara Bareilles,2826467,13545
brookeburke,18420140,,Brooke Burke-Charvet,2820232,27419
iqbaale,141186163,,IqbaalDhiafakhri-IDR,2804679,15505
VINNYGUADAGNINO,95515846,podcastone.com,Vinny Guadagnino,2804383,16371
Garik2000,340466920,,Гарик Харламов,2802158,7434
DavidSpade,22657153,,David Spade,2800397,5240
FannyLu,28641033,fannylu.com,Fanny Lu,2794890,11833
LeighFrancis,20632700,leighfrancis.tv,Leigh Francis,2786229,58977
EleanorJCalder,464139666,thetrendpear.com,Eleanor Calder,2784632,1723
1LoganHenderson,108538006,,Logan Henderson,2767690,3774
DaneCook,20978103,,Dane Cook,2765084,19313
showimah,123206116,,Soimah,2764285,9251
RyanSheckler,29842036,ryansheckler.com,Ryan Sheckler,2760081,4709
ristomejide,74992460,ristomejide.com,Risto Mejide,2736508,33002
wilw,1183041,wilwheaton.net,Wil SCREAMton,2732596,73956
CMPunk,177345928,cmpunk.com,Coach,2729270,21056
markhoppus,21955058,himynameismark.com,Dadcula,2715222,3178
ThisisDavina,44101412,thisisdavina.com,Davina McCall,2713530,45151
manaoficial,95715393,mana.com.mx,Maná,2695126,6678
AdalRamones,96187825,,Adal Ramones,2690928,37481
radioleary,176486829,johnnoel.com,Dermot O'Leary,2684458,18885
ErinAndrews,120943272,erinandrews.com,Erin Andrews,2684000,23423
dhikacungkring,114761346,,andhika pratama,2682420,33931
xuxameneghel,12078472,xuxa.com,Xuxa.com,2679472,5579
Niltakipte,20348773,niltakipte.com,Nil Karaibrahimgil,2670964,4337
ReggieBush,62902439,ReggieBush.com,Reggie Bush,2668562,9137
smosh,19604744,apple.co,Smosh,2667796,46796
RebelWilson,149590738,,Rebel Wilson,2662635,6380
biz,13,jelly.co,Biz Stone,2649834,9883
mariagadu,44229128,mariagadu.net,Maria Gadú,2649051,5584
MarkWright_,45831321,,Mark Wright,2645652,16626
drdrew,14515734,drdrew.com,Dr Drew,2640546,16968
feliciaday,7861312,feliciaday.com,Felicia Day,2640122,40359
CraigyFerg,112508240,,Craig Ferguson,2615050,2933
angelicavale,43859592,,Angelica Vale,2614255,21667
kenandogulu,69683823,,Kenan Doğulu,2614014,1892
carterreynolds,363961928,youtube.com,Carter Reynolds,2576608,18435
SteveNash,20416406,,Steve Nash,2574765,4581
amandabynes,243442402,,amanda bynes,2564487,12
TheCarlosPena,120557765,lexlos.com,Carlos PenaVega,2563768,8659
DavidHenrie,20620967,,David Henrie,2553966,10288
gisel_la,48562147,,Gisella Anastasia,2540202,15080
drose,612792060,drosehoops.com,Derrick Rose,2525808,91
